split,gate_id,oracle_positive_count,runtime_fire_count,overlap_count,precision_vs_oracle,recall_vs_oracle,jaccard
holdout,m2.25_p0.95_k5,815,313,253,0.8083067092651757,0.3104294478527607,0.28914285714285715
holdout,m2.5_p0.8_k1,815,240,194,0.8083333333333333,0.23803680981595093,0.22531939605110338
holdout,m2.5_p0.8_k2,815,276,222,0.8043478260869565,0.2723926380368098,0.2554660529344074
holdout,m2.5_p0.8_k3,815,283,223,0.7879858657243817,0.27361963190184047,0.25485714285714284
holdout,m2.5_p0.8_k5,815,287,225,0.7839721254355401,0.27607361963190186,0.25655644241733183
holdout,m2.5_p0.85_k1,815,237,192,0.810126582278481,0.23558282208588957,0.22325581395348837
holdout,m2.5_p0.85_k2,815,271,220,0.8118081180811808,0.26993865030674846,0.2540415704387991
holdout,m2.5_p0.85_k3,815,278,221,0.7949640287769785,0.27116564417177913,0.25344036697247707
holdout,m2.5_p0.85_k5,815,282,223,0.7907801418439716,0.27361963190184047,0.2551487414187643
holdout,m2.5_p0.9_k1,815,233,190,0.8154506437768241,0.2331288343558282,0.22144522144522144
holdout,m2.5_p0.9_k2,815,266,218,0.8195488721804511,0.2674846625766871,0.2526071842410197
holdout,m2.5_p0.9_k3,815,273,219,0.8021978021978022,0.2687116564417178,0.2520138089758343
holdout,m2.5_p0.9_k5,815,277,221,0.7978339350180506,0.27116564417177913,0.2537313432835821
holdout,m2.5_p0.95_k1,815,228,189,0.8289473684210527,0.23190184049079754,0.22131147540983606
holdout,m2.5_p0.95_k2,815,261,217,0.8314176245210728,0.26625766871165646,0.25261932479627475
holdout,m2.5_p0.95_k3,815,266,218,0.8195488721804511,0.2674846625766871,0.2526071842410197
holdout,m2.5_p0.95_k5,815,270,220,0.8148148148148148,0.26993865030674846,0.2543352601156069
holdout,m2.75_p0.8_k1,815,199,164,0.8241206030150754,0.20122699386503068,0.19294117647058823
holdout,m2.75_p0.8_k2,815,231,188,0.8138528138528138,0.23067484662576687,0.2191142191142191
holdout,m2.75_p0.8_k3,815,236,189,0.8008474576271186,0.23190184049079754,0.21925754060324826
holdout,m2.75_p0.8_k5,815,239,191,0.799163179916318,0.2343558282208589,0.2213209733487833
holdout,m2.75_p0.85_k1,815,196,162,0.826530612244898,0.19877300613496932,0.19081272084805653
holdout,m2.75_p0.85_k2,815,226,186,0.8230088495575221,0.2282208588957055,0.21754385964912282
holdout,m2.75_p0.85_k3,815,231,187,0.8095238095238095,0.2294478527607362,0.21769499417927823
holdout,m2.75_p0.85_k5,815,234,189,0.8076923076923077,0.23190184049079754,0.21976744186046512
holdout,m2.75_p0.9_k1,815,192,160,0.8333333333333334,0.19631901840490798,0.18890200708382526
holdout,m2.75_p0.9_k2,815,221,184,0.832579185520362,0.22576687116564417,0.215962441314554
holdout,m2.75_p0.9_k3,815,226,185,0.8185840707964602,0.22699386503067484,0.2161214953271028
holdout,m2.75_p0.9_k5,815,229,187,0.8165938864628821,0.2294478527607362,0.21820303383897316
holdout,m2.75_p0.95_k1,815,187,159,0.8502673796791443,0.1950920245398773,0.18861209964412812
holdout,m2.75_p0.95_k2,815,216,183,0.8472222222222222,0.2245398773006135,0.21580188679245282
holdout,m2.75_p0.95_k3,815,219,184,0.8401826484018264,0.22576687116564417,0.2164705882352941
holdout,m2.75_p0.95_k5,815,222,186,0.8378378378378378,0.2282208588957055,0.21856639247943596
