split,gate_id,min_delta,safe_probability_threshold,candidate_ev_rank_max,rows,fires,fire_rate,avg_gain,median_gain,false_positive_count,false_positive_rate,p95_loss,p99_loss,max_loss,oracle_precision,oracle_recall,oracle_jaccard,hard_negative_fired,first_fires,second_fires
test,m1.5_p0.95_k5,1.5,0.95,5,3003,253,0.08424908424908426,3.1144675459315185,2.6681101322174072,15,0.05928853754940711,0.17333102226257277,4.282481956481928,6.614522933959961,0.7628458498023716,0.4718826405867971,0.4115138592750533,4,119,134
test,m2_p0.8_k1,2.0,0.8,1,3003,154,0.05128205128205128,3.9000556352850677,3.232580304145813,8,0.05194805194805195,0.03363010883331244,3.0820418167114236,5.772463798522949,0.8051948051948052,0.30317848410757947,0.2824601366742597,3,73,81
test,m2_p0.8_k2,2.0,0.8,2,3003,180,0.059940059940059943,3.6791146306527986,3.177584171295166,11,0.06111111111111111,0.10082847923040296,4.044890079498292,5.772463798522949,0.7944444444444444,0.34963325183374083,0.32062780269058294,4,79,101
test,m2_p0.8_k3,2.0,0.8,3,3003,185,0.06160506160506161,3.5765231274269724,3.1015625,13,0.07027027027027027,0.43527955412864083,4.040596351623535,5.772463798522949,0.772972972972973,0.34963325183374083,0.3170731707317073,4,81,104
test,m2_p0.8_k5,2.0,0.8,5,3003,189,0.06293706293706294,3.534970065273305,3.077479600906372,14,0.07407407407407407,0.49940361976623526,4.037161369323731,5.772463798522949,0.7671957671957672,0.3545232273838631,0.3200883002207506,5,83,106
test,m2_p0.85_k1,2.0,0.85,1,3003,152,0.050616050616050616,3.942946630873178,3.2538169622421265,7,0.046052631578947366,0.0,3.1176951980590983,5.772463798522949,0.8092105263157895,0.30073349633251834,0.2808219178082192,3,72,80
test,m2_p0.85_k2,2.0,0.85,2,3003,176,0.05860805860805861,3.779379326003519,3.232580304145813,8,0.045454545454545456,0.0,2.689854621887207,5.772463798522949,0.8068181818181818,0.3471882640586797,0.32054176072234764,4,78,98
test,m2_p0.85_k3,2.0,0.85,3,3003,179,0.05960705960705961,3.719958378116512,3.226067066192627,9,0.05027932960893855,0.015310999751090133,3.855065412521362,5.772463798522949,0.7932960893854749,0.3471882640586797,0.3183856502242152,4,79,100
test,m2_p0.85_k5,2.0,0.85,5,3003,183,0.060939060939060936,3.673907723746013,3.198918342590332,10,0.0546448087431694,0.1377989977598199,3.846255617141725,5.772463798522949,0.7868852459016393,0.35207823960880197,0.32142857142857145,5,81,102
test,m2_p0.9_k1,2.0,0.9,1,3003,150,0.04995004995004995,3.9854656116167706,3.2872490882873535,6,0.04,0.0,3.153348579406722,5.772463798522949,0.8133333333333334,0.2982885085574572,0.2791762013729977,3,70,80
test,m2_p0.9_k2,2.0,0.9,2,3003,174,0.057942057942057944,3.814153535783976,3.2538169622421265,7,0.040229885057471264,0.0,2.7255080032348813,5.772463798522949,0.8103448275862069,0.34474327628361856,0.3190045248868778,4,76,98
test,m2_p0.9_k3,2.0,0.9,3,3003,177,0.058941058941058944,3.753471771370893,3.239093542098999,8,0.04519774011299435,0.0,3.859470310211184,5.772463798522949,0.7966101694915254,0.34474327628361856,0.31685393258426964,4,77,100
test,m2_p0.9_k5,2.0,0.9,5,3003,181,0.06027306027306027,3.7061716425155407,3.226067066192627,9,0.049723756906077346,0.0,3.8506605148315405,5.772463798522949,0.7900552486187845,0.34963325183374083,0.319910514541387,5,79,102
test,m2_p0.95_k1,2.0,0.95,1,3003,147,0.04895104895104895,4.070143119818499,3.33984375,4,0.027210884353741496,0.0,3.2068286514282085,5.772463798522949,0.8299319727891157,0.2982885085574572,0.28110599078341014,2,68,79
test,m2_p0.95_k2,2.0,0.95,2,3003,171,0.056943056943056944,3.8839410064164657,3.305957794189453,5,0.029239766081871343,0.0,2.778988075256368,5.772463798522949,0.8245614035087719,0.34474327628361856,0.3211845102505695,3,74,97
test,m2_p0.95_k3,2.0,0.95,3,3003,172,0.05727605727605728,3.867817847707937,3.2872490882873535,5,0.029069767441860465,0.0,2.7611613845825054,5.772463798522949,0.8197674418604651,0.34474327628361856,0.32045454545454544,3,75,97
test,m2_p0.95_k5,2.0,0.95,5,3003,176,0.05860805860805861,3.8165751907297154,3.2538169622421265,6,0.03409090909090909,0.0,2.689854621887207,5.772463798522949,0.8125,0.34963325183374083,0.3235294117647059,4,77,99
test,m2.25_p0.8_k1,2.25,0.8,1,3003,134,0.044622044622044624,4.161131032367251,3.3944188356399536,7,0.05223880597014925,0.03363010883331244,1.8174428367614586,5.772463798522949,0.8134328358208955,0.2665036674816626,0.2511520737327189,3,63,71
test,m2.25_p0.8_k2,2.25,0.8,2,3003,156,0.05194805194805195,3.929667946810906,3.369990348815918,10,0.0641025641025641,0.11183511465787888,3.085031986236551,5.772463798522949,0.8076923076923077,0.3080684596577017,0.2870159453302961,4,69,87
test,m2.25_p0.8_k3,2.25,0.8,3,3003,160,0.05328005328005328,3.8381681479513645,3.3604393005371094,11,0.06875,0.17074559479951257,3.932120509147643,5.772463798522949,0.7875,0.3080684596577017,0.28442437923250563,4,71,89
