oracle_candidate_id,proxy_id,proxy_family,oracle_fires,proxy_fires,intersection,precision_vs_oracle,recall_vs_oracle,jaccard_overlap,rows
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.8_pm0.5,predicted_delta_gate_ev_margin,202,266,151,0.5676691729323309,0.7475247524752475,0.47634069400630913,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.8_pm0.75,predicted_delta_gate_ev_margin,202,227,130,0.5726872246696035,0.6435643564356436,0.43478260869565216,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.8_pm1,predicted_delta_gate_ev_margin,202,187,106,0.5668449197860963,0.5247524752475248,0.3745583038869258,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.8_k1,predicted_delta_gate_rank_guard,202,284,158,0.5563380281690141,0.7821782178217822,0.4817073170731707,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.8_k2,predicted_delta_gate_rank_guard,202,318,179,0.5628930817610063,0.8861386138613861,0.5249266862170088,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.8_k3,predicted_delta_gate_rank_guard,202,340,192,0.5647058823529412,0.9504950495049505,0.5485714285714286,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.8_k5,predicted_delta_gate_rank_guard,202,347,197,0.5677233429394812,0.9752475247524752,0.5596590909090909,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.8_l0.5,runtime_lcb_proxy,202,294,177,0.6020408163265306,0.8762376237623762,0.554858934169279,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.8_l1,runtime_lcb_proxy,202,281,174,0.6192170818505338,0.8613861386138614,0.5631067961165048,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.8_l1.64,runtime_lcb_proxy,202,253,161,0.6363636363636364,0.7970297029702971,0.5476190476190477,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.8_l1.96,runtime_lcb_proxy,202,245,157,0.6408163265306123,0.7772277227722773,0.5413793103448276,6006
confidence_lcb196_m2p5_r0_g0p7,E_m2_g0.8,source_filtered_runtime_proxy,202,257,142,0.5525291828793775,0.7029702970297029,0.4479495268138801,6006
confidence_lcb196_m2p5_r0_g0p7,A_m2_g0.85,predicted_delta_gate,202,349,200,0.5730659025787965,0.9900990099009901,0.5698005698005698,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.85_pm0.25,predicted_delta_gate_ev_margin,202,297,176,0.5925925925925926,0.8712871287128713,0.544891640866873,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.85_pm0.5,predicted_delta_gate_ev_margin,202,261,150,0.5747126436781609,0.7425742574257426,0.4792332268370607,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.85_pm0.75,predicted_delta_gate_ev_margin,202,223,129,0.57847533632287,0.6386138613861386,0.4358108108108108,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.85_pm1,predicted_delta_gate_ev_margin,202,183,105,0.5737704918032787,0.5198019801980198,0.375,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.85_k1,predicted_delta_gate_rank_guard,202,278,157,0.564748201438849,0.7772277227722773,0.48606811145510836,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.85_k2,predicted_delta_gate_rank_guard,202,312,178,0.5705128205128205,0.8811881188118812,0.5297619047619048,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.85_k3,predicted_delta_gate_rank_guard,202,334,191,0.5718562874251497,0.9455445544554455,0.553623188405797,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.85_k5,predicted_delta_gate_rank_guard,202,341,196,0.5747800586510264,0.9702970297029703,0.5648414985590778,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.85_l0.5,runtime_lcb_proxy,202,289,176,0.6089965397923875,0.8712871287128713,0.5587301587301587,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.85_l1,runtime_lcb_proxy,202,276,173,0.6268115942028986,0.8564356435643564,0.5672131147540984,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.85_l1.64,runtime_lcb_proxy,202,248,160,0.6451612903225806,0.7920792079207921,0.5517241379310345,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.85_l1.96,runtime_lcb_proxy,202,240,156,0.65,0.7722772277227723,0.5454545454545454,6006
confidence_lcb196_m2p5_r0_g0p7,E_m2_g0.85,source_filtered_runtime_proxy,202,252,141,0.5595238095238095,0.698019801980198,0.4504792332268371,6006
confidence_lcb196_m2p5_r0_g0p7,A_m2_g0.9,predicted_delta_gate,202,343,198,0.577259475218659,0.9801980198019802,0.5706051873198847,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.9_pm0.25,predicted_delta_gate_ev_margin,202,292,174,0.5958904109589042,0.8613861386138614,0.54375,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.9_pm0.5,predicted_delta_gate_ev_margin,202,257,148,0.5758754863813229,0.7326732673267327,0.4758842443729904,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.9_pm0.75,predicted_delta_gate_ev_margin,202,219,127,0.5799086757990868,0.6287128712871287,0.43197278911564624,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2_g0.9_pm1,predicted_delta_gate_ev_margin,202,180,104,0.5777777777777777,0.5148514851485149,0.37410071942446044,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.9_k1,predicted_delta_gate_rank_guard,202,273,155,0.5677655677655677,0.7673267326732673,0.484375,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.9_k2,predicted_delta_gate_rank_guard,202,307,176,0.5732899022801303,0.8712871287128713,0.5285285285285285,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.9_k3,predicted_delta_gate_rank_guard,202,328,189,0.5762195121951219,0.9356435643564357,0.5542521994134897,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2_g0.9_k5,predicted_delta_gate_rank_guard,202,335,194,0.5791044776119403,0.9603960396039604,0.565597667638484,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.9_l0.5,runtime_lcb_proxy,202,284,174,0.6126760563380281,0.8613861386138614,0.5576923076923077,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.9_l1,runtime_lcb_proxy,202,271,171,0.6309963099630996,0.8465346534653465,0.5662251655629139,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.9_l1.64,runtime_lcb_proxy,202,243,158,0.6502057613168725,0.7821782178217822,0.5505226480836237,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2_g0.9_l1.96,runtime_lcb_proxy,202,236,154,0.652542372881356,0.7623762376237624,0.5422535211267606,6006
confidence_lcb196_m2p5_r0_g0p7,E_m2_g0.9,source_filtered_runtime_proxy,202,247,139,0.562753036437247,0.6881188118811881,0.4483870967741935,6006
confidence_lcb196_m2p5_r0_g0p7,A_m2.25_g0.7,predicted_delta_gate,202,301,202,0.6710963455149501,1.0,0.6710963455149501,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2.25_g0.7_pm0.25,predicted_delta_gate_ev_margin,202,258,178,0.689922480620155,0.8811881188118812,0.6312056737588653,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2.25_g0.7_pm0.5,predicted_delta_gate_ev_margin,202,227,152,0.6696035242290749,0.7524752475247525,0.5487364620938628,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2.25_g0.7_pm0.75,predicted_delta_gate_ev_margin,202,190,131,0.6894736842105263,0.6485148514851485,0.5019157088122606,6006
confidence_lcb196_m2p5_r0_g0p7,B_m2.25_g0.7_pm1,predicted_delta_gate_ev_margin,202,157,107,0.6815286624203821,0.5297029702970297,0.4246031746031746,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2.25_g0.7_k1,predicted_delta_gate_rank_guard,202,237,159,0.6708860759493671,0.7871287128712872,0.5678571428571428,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2.25_g0.7_k2,predicted_delta_gate_rank_guard,202,272,180,0.6617647058823529,0.8910891089108911,0.6122448979591837,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2.25_g0.7_k3,predicted_delta_gate_rank_guard,202,292,193,0.660958904109589,0.9554455445544554,0.6411960132890365,6006
confidence_lcb196_m2p5_r0_g0p7,C_m2.25_g0.7_k5,predicted_delta_gate_rank_guard,202,297,198,0.6666666666666666,0.9801980198019802,0.6578073089700996,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2.25_g0.7_l0.5,runtime_lcb_proxy,202,245,178,0.726530612244898,0.8811881188118812,0.6617100371747212,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2.25_g0.7_l1,runtime_lcb_proxy,202,231,169,0.7316017316017316,0.8366336633663366,0.6401515151515151,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2.25_g0.7_l1.64,runtime_lcb_proxy,202,216,158,0.7314814814814815,0.7821782178217822,0.6076923076923076,6006
confidence_lcb196_m2p5_r0_g0p7,D_m2.25_g0.7_l1.96,runtime_lcb_proxy,202,205,150,0.7317073170731707,0.7425742574257426,0.5836575875486382,6006
confidence_lcb196_m2p5_r0_g0p7,E_m2.25_g0.7,source_filtered_runtime_proxy,202,219,143,0.6529680365296804,0.7079207920792079,0.5143884892086331,6006
