config_id,bucket_type,bucket,override_count,avg_gain_on_override,false_positive_count,p95_loss,decision_count
m2.5_r0_g0.7,actual_low_margin,True,62,3.2435333363471495,5,1.4097935914993265,
m2.5_r0_g0.7,actual_teacher_disagreement,False,1,-2.244187355041504,1,2.244187355041504,
m2.5_r0_g0.7,actual_teacher_disagreement,True,125,4.225694550514222,6,0.0,
m2.5_r0_g0.7,no_override_reason,below_gate_threshold,0,,,,47
m2.5_r0_g0.7,no_override_reason,same_as_baseline,0,,,,985
m2.5_r0_g0.7,no_override_reason,below_stage8_margin,0,,,,949
m2.5_r0_g0.7,no_override_reason,,19,,,,19
m2.5_r0_g0.7,override_fired,False,0,,,,1981
m2.5_r0_g0.7,override_fired,True,19,,,,19
m2.5_r0_g0.7,bucket_group,natural,37,5.789836754670015,1,0.0,
m2.5_r0_g0.7,bucket_group,predicted_high_regret,24,1.8277684549490611,5,2.122650170326231,
m2.5_r0_g0.7,bucket_group,predicted_low_margin,15,4.042831762631734,0,0.0,
m2.5_r0_g0.7,bucket_group,predicted_teacher_disagreement,13,6.117419683016264,1,1.611998748779291,
m2.5_r0_g0.7,bucket_group,random_off_policy,37,3.4515755756481274,0,0.0,
m2.5_r0_g0.7,actual_high_regret,False,10,-0.6052136540412902,4,3.226382589340208,
m2.5_r0_g0.7,actual_high_regret,True,116,4.586377310341802,3,0.0,
m2.5_r0_g0.7,actual_low_margin,False,64,5.076071321964264,2,0.0,
m2.5_r0_g0.7,actual_low_margin,True,62,3.2435333363471495,5,1.4097935914993265,
m2.5_r0_g0.7,actual_teacher_disagreement,False,1,-2.244187355041504,1,2.244187355041504,
m2.5_r0_g0.7,actual_teacher_disagreement,True,125,4.225694550514222,6,0.0,
m2.5_r0_g0.7,no_override_reason,same_as_baseline,0,,,,958
m2.5_r0_g0.7,no_override_reason,below_stage8_margin,0,,,,984
m2.5_r0_g0.7,no_override_reason,,21,,,,21
m2.5_r0_g0.7,no_override_reason,below_gate_threshold,0,,,,37
m2.5_r0_g0.7,override_fired,False,0,,,,1979
m2.5_r0_g0.7,override_fired,True,21,,,,21
m2.5_r0_g0.7,bucket_group,natural,37,5.789836754670015,1,0.0,
m2.5_r0_g0.7,bucket_group,predicted_high_regret,24,1.8277684549490611,5,2.122650170326231,
m2.5_r0_g0.7,bucket_group,predicted_low_margin,15,4.042831762631734,0,0.0,
m2.5_r0_g0.7,bucket_group,predicted_teacher_disagreement,13,6.117419683016264,1,1.611998748779291,
m2.5_r0_g0.7,bucket_group,random_off_policy,37,3.4515755756481274,0,0.0,
m2.5_r0_g0.7,actual_high_regret,False,10,-0.6052136540412902,4,3.226382589340208,
m2.5_r0_g0.7,actual_high_regret,True,116,4.586377310341802,3,0.0,
m2.5_r0_g0.7,actual_low_margin,False,64,5.076071321964264,2,0.0,
m2.5_r0_g0.7,actual_low_margin,True,62,3.2435333363471495,5,1.4097935914993265,
m2.5_r0_g0.7,actual_teacher_disagreement,False,1,-2.244187355041504,1,2.244187355041504,
m2.5_r0_g0.7,actual_teacher_disagreement,True,125,4.225694550514222,6,0.0,
m2.5_r0_g0.7,no_override_reason,below_stage8_margin,0,,,,981
m2.5_r0_g0.7,no_override_reason,same_as_baseline,0,,,,971
m2.5_r0_g0.7,no_override_reason,below_gate_threshold,0,,,,38
m2.5_r0_g0.7,no_override_reason,,10,,,,10
m2.5_r0_g0.7,override_fired,False,0,,,,1990
m2.5_r0_g0.7,override_fired,True,10,,,,10
m2.5_r0_g0.7,bucket_group,natural,37,5.789836754670015,1,0.0,
m2.5_r0_g0.7,bucket_group,predicted_high_regret,24,1.8277684549490611,5,2.122650170326231,
m2.5_r0_g0.7,bucket_group,predicted_low_margin,15,4.042831762631734,0,0.0,
m2.5_r0_g0.7,bucket_group,predicted_teacher_disagreement,13,6.117419683016264,1,1.611998748779291,
m2.5_r0_g0.7,bucket_group,random_off_policy,37,3.4515755756481274,0,0.0,
m2.5_r0_g0.7,actual_high_regret,False,10,-0.6052136540412902,4,3.226382589340208,
m2.5_r0_g0.7,actual_high_regret,True,116,4.586377310341802,3,0.0,
m2.5_r0_g0.7,actual_low_margin,False,64,5.076071321964264,2,0.0,
m2.5_r0_g0.7,actual_low_margin,True,62,3.2435333363471495,5,1.4097935914993265,
m2.5_r0_g0.7,actual_teacher_disagreement,False,1,-2.244187355041504,1,2.244187355041504,
m2.5_r0_g0.7,actual_teacher_disagreement,True,125,4.225694550514222,6,0.0,
m2.5_r0_g0.7,no_override_reason,below_stage8_margin,0,,,,1003
m2.5_r0_g0.7,no_override_reason,same_as_baseline,0,,,,948
m2.5_r0_g0.7,no_override_reason,below_gate_threshold,0,,,,38
m2.5_r0_g0.7,no_override_reason,,11,,,,11
m2.5_r0_g0.7,override_fired,False,0,,,,1989
m2.5_r0_g0.7,override_fired,True,11,,,,11
m2.5_r0_g0.7,bucket_group,natural,37,5.789836754670015,1,0.0,
m2.5_r0_g0.7,bucket_group,predicted_high_regret,24,1.8277684549490611,5,2.122650170326231,
m2.5_r0_g0.7,bucket_group,predicted_low_margin,15,4.042831762631734,0,0.0,
m2.5_r0_g0.7,bucket_group,predicted_teacher_disagreement,13,6.117419683016264,1,1.611998748779291,
m2.5_r0_g0.7,bucket_group,random_off_policy,37,3.4515755756481274,0,0.0,
m2.5_r0_g0.7,actual_high_regret,False,10,-0.6052136540412902,4,3.226382589340208,
m2.5_r0_g0.7,actual_high_regret,True,116,4.586377310341802,3,0.0,
m2.5_r0_g0.7,actual_low_margin,False,64,5.076071321964264,2,0.0,
m2.5_r0_g0.7,actual_low_margin,True,62,3.2435333363471495,5,1.4097935914993265,
m2.5_r0_g0.7,actual_teacher_disagreement,False,1,-2.244187355041504,1,2.244187355041504,
m2.5_r0_g0.7,actual_teacher_disagreement,True,125,4.225694550514222,6,0.0,
m2.5_r0_g0.7,no_override_reason,same_as_baseline,0,,,,914
m2.5_r0_g0.7,no_override_reason,below_stage8_margin,0,,,,1035
m2.5_r0_g0.7,no_override_reason,,20,,,,20
m2.5_r0_g0.7,no_override_reason,below_gate_threshold,0,,,,31
m2.5_r0_g0.7,override_fired,False,0,,,,1980
m2.5_r0_g0.7,override_fired,True,20,,,,20
