state_index,audit_groups,rank_high_mc,original_index,action,high_mc_ev,high_mc_se,mc512_ev,mc512_se,predicted_ev,predicted_delta,predicted_delta_reference,predicted_rank_score,is_baseline,is_stage8_candidate,is_model_top1,is_teacher_mc512_best,is_high_mc_best
9018,fired_teacher,1,12,"4c->middle,6c->bottom; discard=7c",2.7498199560546874,0.2792027563143754,1.2467272187499998,0.8043420322682298,4.309653282165527,6.255185604095459,6.26284646987915,-1.7655422687530518,False,True,True,True,True
9018,fired_teacher,2,17,"7c->top,6c->bottom; discard=4c",1.4306630234375,0.2713970112484062,0.04800398437499995,0.7907505580556212,0.9930830001831055,4.4263482093811035,4.457525730133057,-3.593392848968506,False,False,False,False,False
9018,fired_teacher,3,9,"4c->top,6c->bottom; discard=7c",1.3272853251953125,0.2738242776195251,-0.17262421875000006,0.8005168453218136,0.6335492134094238,4.488718509674072,4.489521503448486,-3.662060022354126,False,False,False,False,False
9018,fired_teacher,4,20,"7c->middle,6c->bottom; discard=4c",1.16355806640625,0.2712045797598689,-0.23125542968750007,0.7900601629979481,0.8687586784362793,4.1341471672058105,4.20628023147583,-4.145569324493408,False,False,False,False,False
9018,fired_teacher,5,22,"7c->bottom,6c->middle; discard=4c",-2.5577235986328124,0.24407454753741575,-2.97004071875,0.7168143183755441,-3.8914167881011963,0.908085823059082,1.0927271842956543,-6.765958309173584,False,False,False,False,False
9018,fired_teacher,6,4,"4c->middle,7c->bottom; discard=6c",-3.78372034375,0.2353023053193893,-3.8632727265625,0.6967620224062026,-3.300013303756714,1.0748705863952637,1.15806245803833,-6.223022937774658,True,False,False,False,False
9018,fired_teacher,7,21,"7c->bottom,6c->top; discard=4c",-3.9848209140625,0.23564007410162305,-4.8936066171875,0.6934617550234715,-4.817312717437744,-0.4924325942993164,-0.48599910736083984,-8.620370864868164,False,False,False,False,False
9018,fired_teacher,8,1,"4c->top,7c->bottom; discard=6c",-4.206195586914062,0.23526346335929127,-5.220086703125,0.6906516416758423,-5.678689002990723,-0.23684310913085938,-0.30142927169799805,-8.365376472473145,False,False,False,False,False
9018,fired_teacher,9,10,"4c->middle,6c->top; discard=7c",-4.557200631835937,0.24067527807028374,-5.23758990625,0.6918987126592921,-4.567485332489014,-0.7117972373962402,-0.7553849220275879,-7.782320022583008,False,False,False,False,False
9018,fired_teacher,10,2,"4c->middle,7c->top; discard=6c",-4.699415419921875,0.24034674882614943,-5.0645655078125,0.707013588638032,-4.901129722595215,-1.01771879196167,-1.0497503280639648,-7.945545673370361,False,False,False,False,False
9018,fired_teacher,11,8,"4c->top,6c->middle; discard=7c",-5.049016495117187,0.23628282731489916,-5.6199443515625,0.7083204101355621,-6.269286155700684,-1.6158504486083984,-1.687690258026123,-8.7098388671875,False,False,False,False,False
9018,fired_teacher,12,0,"4c->top,7c->middle; discard=6c",-5.25138566015625,0.23412264804639007,-5.4973180703125,0.7024979632001256,-5.956113338470459,-1.7875823974609375,-1.9181067943572998,-9.111162185668945,False,False,False,False,False
9018,fired_teacher,13,18,"7c->middle,6c->top; discard=4c",-5.4090619775390625,0.23250121628671433,-5.8816631015625,0.6806491903238765,-5.655367851257324,-2.1517465114593506,-2.259634494781494,-9.629612922668457,False,False,False,False,False
9018,fired_teacher,14,16,"7c->top,6c->middle; discard=4c",-5.51392325,0.23348070873710672,-5.82073309375,0.6872545996260125,-5.388329982757568,-1.3362681865692139,-1.3537003993988037,-8.470709800720215,False,False,False,False,False
9018,fired_teacher,15,11,"4c->middle,6c->middle; discard=7c",-5.8610876015625,0.22568505514981171,-6.349955046875,0.661560684833368,-5.740859031677246,-1.8314108848571777,-1.8108782768249512,-8.675719261169434,False,False,False,False,False
9018,fired_teacher,16,19,"7c->middle,6c->middle; discard=4c",-5.984948633789062,0.2248153116562721,-6.70381634375,0.6516373499082976,-7.111863136291504,-3.155705451965332,-3.19547963142395,-10.584360122680664,False,False,False,False,False
9018,fired_teacher,17,3,"4c->middle,7c->middle; discard=6c",-5.9975434804687495,0.2258526554201612,-6.4893931875,0.6582272030561991,-6.32332706451416,-2.8151302337646484,-2.8876423835754395,-10.159307479858398,False,False,False,False,False
9018,fired_teacher,18,14,"4c->bottom,6c->middle; discard=7c",-10.821480431640625,0.1543836926689234,-11.080936359375,0.4556126043652066,-11.580556869506836,-7.798166275024414,-7.863162040710449,-14.474373817443848,False,False,False,False,False
9018,fired_teacher,19,6,"4c->bottom,7c->middle; discard=6c",-10.848235434570313,0.15447303757101408,-11.0746938515625,0.45331827903269,-11.236532211303711,-7.4515557289123535,-7.4749579429626465,-14.364603042602539,False,False,False,False,False
9018,fired_teacher,20,15,"4c->bottom,6c->bottom; discard=7c",-10.848876755859376,0.15376758522043119,-11.162967609375,0.4530643756742554,-11.965349197387695,-7.908019065856934,-7.984089374542236,-15.01148796081543,False,False,False,False,False
9018,fired_teacher,21,7,"4c->bottom,7c->bottom; discard=6c",-10.8626105703125,0.15174284292976425,-11.1293813515625,0.4512644800747501,-11.639833450317383,-7.31859016418457,-7.418909549713135,-15.152183532714844,False,False,False,False,False
9018,fired_teacher,22,23,"7c->bottom,6c->bottom; discard=4c",-10.865640723632813,0.15144345574477466,-11.1293813515625,0.4512644800747501,-10.48342514038086,-5.983348369598389,-6.069295883178711,-13.93959903717041,False,False,False,False,False
9018,fired_teacher,23,5,"4c->bottom,7c->top; discard=6c",-10.890471762695313,0.15415780346571176,-11.135623859375,0.45403245342742315,-11.043716430664062,-7.189270496368408,-7.236043930053711,-14.049803733825684,False,False,False,False,False
9018,fired_teacher,24,13,"4c->bottom,6c->top; discard=7c",-10.90580473046875,0.15400695148449753,-11.143436359375,0.4540277550011604,-10.740193367004395,-7.168430328369141,-7.294285774230957,-14.428308486938477,False,False,False,False,False
5603,fired_teacher|suspected_false_positive,1,15,"7c->bottom,Qc->top; discard=Tc",15.749989819335937,0.29209975375852176,15.803647117187499,0.7897562618453823,5.28986930847168,5.512152194976807,5.537943363189697,1.7158379554748535,False,False,False,True,True
5603,fired_teacher|suspected_false_positive,2,16,"7c->bottom,Qc->middle; discard=Tc",13.0335622265625,0.2872712883061585,12.984700257812499,0.785199942808848,3.449075698852539,4.094261646270752,4.1669230461120605,0.8697347640991211,False,False,False,False,False
5603,fired_teacher|suspected_false_positive,3,7,"7c->bottom,Tc->middle; discard=Qc",12.605645650390624,0.2840998656323669,12.98389653125,0.80039035197523,1.7154440879821777,3.089783191680908,3.176025390625,0.2819862365722656,False,False,False,False,False
5603,fired_teacher|suspected_false_positive,4,17,"7c->bottom,Qc->bottom; discard=Tc",12.43834802734375,0.24806893236666905,12.6372398359375,0.6867878574141159,8.456770896911621,6.145806789398193,6.22694730758667,2.396888256072998,False,True,False,False,False
